,Civilité,Year,Type,section,Nationalité,ISO_code
343,Mister,2009-2010,Master,Civil Engineering,Swiss,
344,Mister,2009-2010,Master,Civil Engineering,Swiss,
345,Mister,2009-2010,Master,Computer Science,French,
346,Mister,2009-2010,Master,Physics,Swiss,
347,Mister,2009-2010,Master,Physics,French,
348,Miss,2009-2010,Master,Life Sciences and Technologies,Swiss,
349,Mister,2009-2010,Master,Mechanical Engineering,French,
350,Mister,2009-2010,Master,Architecture,Swiss,
351,Mister,2009-2010,Master,Molecular & Biological Chemistry,Swiss,
352,Mister,2009-2010,Master,Life Sciences and Technologies,French,
353,Mister,2009-2010,Master,Architecture,Swiss,
354,Miss,2009-2010,Master,Architecture,Swiss,
355,Miss,2009-2010,Master,Materials Science and Engineering,Swiss,
356,Mister,2009-2010,Master,Architecture,Belgian,
357,Mister,2009-2010,Master,Physics,Swiss,
358,Mister,2009-2010,Master,Microengineering,Swiss,
359,Mister,2009-2010,Master,Architecture,Swiss,
360,Miss,2009-2010,Master,Architecture,Swiss,
361,Mister,2009-2010,Master,Computer Science,Swiss,
362,Mister,2009-2010,Master,Architecture,French,
363,Miss,2009-2010,Master,Physics,French,
364,Miss,2009-2010,Master,Architecture,Swiss,
365,Mister,2009-2010,Master,Architecture,Swiss,
366,Miss,2009-2010,Master,Environmental Sciences and Engineering,Russian,
367,Miss,2009-2010,Master,Architecture,Belgian,
368,Mister,2009-2010,Bachelor,Communication Systems,Swiss,
369,Miss,2009-2010,Master,Environmental Sciences and Engineering,Swiss,
370,Mister,2009-2010,Bachelor,Communication Systems,Cameroonian,
371,Mister,2009-2010,Bachelor,Civil Engineering,Senegalese,
372,Mister,2009-2010,Master,Mechanical Engineering,Spanish,
373,Mister,2009-2010,Master,Electrical and Electronics Engineering,Cameroonian,
374,Mister,2009-2010,Bachelor,Mathematics,Cameroonian,
375,Mister,2009-2010,Bachelor,Computer Science,Swiss,
376,Mister,2009-2010,Master,Bioengineering,Swiss,
377,Mister,2009-2010,Master,Architecture,Swiss,
378,Miss,2009-2010,Master,Architecture,Swiss,
379,Mister,2009-2010,Master,Architecture,Swiss,
380,Mister,2009-2010,Master,Bioengineering,French,
381,Mister,2009-2010,Master,Microengineering,Swiss,
382,Mister,2009-2010,Master,Civil Engineering,Swiss,
383,Mister,2009-2010,Master,Bioengineering,Swiss,
384,Miss,2009-2010,Master,Architecture,British,
385,Mister,2009-2010,Master,Molecular & Biological Chemistry,French,
386,Miss,2009-2010,Bachelor,Electrical and Electronics Engineering,Cameroonian,
387,Mister,2009-2010,Bachelor,Civil Engineering,French,
388,Mister,2009-2010,Bachelor,Microengineering,Cameroonian,
389,Mister,2009-2010,Master,Life Sciences and Technologies,French,
390,Mister,2009-2010,Master,Mechanical Engineering,American,
391,Mister,2009-2010,Master,Architecture,Swiss,
392,Mister,2009-2010,Bachelor,Computer Science,Bolivian,
393,Mister,2009-2010,Bachelor,Architecture,Swiss,
394,Mister,2009-2010,Bachelor,Architecture,Swiss,
395,Miss,2009-2010,Bachelor,Architecture,Swiss,
396,Mister,2009-2010,Master,Life Sciences and Technologies,Swiss,
397,Mister,2009-2010,Master,Environmental Sciences and Engineering,Swiss,
398,Mister,2009-2010,Bachelor,Chemistry and Chemical Engineering,Swiss,
399,Miss,2009-2010,Bachelor,Architecture,Swiss,
400,Mister,2009-2010,Bachelor,Mathematics,Swiss,
401,Mister,2009-2010,Master,Microengineering,Swiss,
402,Miss,2009-2010,Bachelor,Architecture,Swiss,
403,Mister,2009-2010,Bachelor,Materials Science and Engineering,Italian,
404,Mister,2009-2010,Master,Mechanical Engineering,Swiss,
405,Mister,2009-2010,Bachelor,Computer Science,Swiss,
406,Mister,2009-2010,Master,Computer Science,Swiss,
407,Mister,2009-2010,Master,Applied Physics,Swiss,
408,Mister,2009-2010,Bachelor,Architecture,Swiss,
409,Mister,2009-2010,Master,Civil Engineering,Swiss,
410,Mister,2009-2010,Master,Civil Engineering,Swiss,
411,Miss,2009-2010,Bachelor,Architecture,Swiss,
412,Miss,2009-2010,Bachelor,Architecture,Swiss,
413,Mister,2009-2010,Master,Microengineering,Swiss,
414,Mister,2009-2010,Bachelor,Computer Science,Swiss,
415,Mister,2009-2010,Master,Architecture,Swiss,
416,Mister,2009-2010,Master,Bioengineering,Swiss,
417,Mister,2009-2010,Master,Civil Engineering,Swiss,
418,Mister,2009-2010,Master,Physics,Swiss,
419,Mister,2009-2010,Master,Electrical and Electronics Engineering,Swiss,
420,Mister,2009-2010,Bachelor,Computer Science,Swiss,
421,Mister,2009-2010,Master,Environmental Sciences and Engineering,Swiss,
422,Mister,2009-2010,Bachelor,Architecture,Swiss,
423,Mister,2009-2010,Bachelor,Microengineering,Swiss,
424,Mister,2009-2010,Master,Civil Engineering,Swiss,
425,Miss,2009-2010,Master,Architecture,Swiss,
426,Mister,2009-2010,Bachelor,Architecture,Swiss,
427,Mister,2009-2010,Master,Materials Science and Engineering,Swiss,
428,Mister,2009-2010,Master,Civil Engineering,Swiss,
429,Mister,2009-2010,Master,Civil Engineering,Swiss,
430,Mister,2009-2010,Master,Architecture,Swiss,
431,Miss,2009-2010,Master,Architecture,Swiss,
432,Mister,2009-2010,Master,Communication Systems,Swiss,
433,Mister,2009-2010,Master,Communication Systems,Swiss,
434,Miss,2009-2010,Master,Electrical and Electronics Engineering,Swiss,
435,Mister,2009-2010,Master,Electrical and Electronics Engineering,Swiss,
436,Miss,2009-2010,Master,Civil Engineering,Swiss,
437,Mister,2009-2010,Master,Civil Engineering,Swiss,
438,Mister,2009-2010,Bachelor,Life Sciences and Technologies,Swiss,
439,Miss,2009-2010,Bachelor,Architecture,Swiss,
440,Miss,2009-2010,Master,Civil Engineering,Swiss,
441,Mister,2009-2010,Master,Physics,Swiss,
442,Mister,2009-2010,Master,Life Sciences and Technologies,Swiss,
443,Mister,2009-2010,Master,Bioengineering,Swiss,
444,Miss,2009-2010,Master,Bioengineering,Swiss,
445,Miss,2009-2010,Master,Environmental Sciences and Engineering,Swiss,
446,Mister,2009-2010,Master,Life Sciences and Technologies,Swiss,
447,Mister,2009-2010,Master,Bioengineering,Swiss,
448,Miss,2009-2010,Master,Bioengineering,Swiss,
449,Mister,2009-2010,Master,Civil Engineering,Dutch,
450,Mister,2009-2010,Master,Mechanical Engineering,Swiss,
451,Miss,2009-2010,Master,Civil Engineering,malgache,
452,Miss,2009-2010,Master,Bioengineering,Swiss,
453,Mister,2009-2010,Master,Bioengineering,Swiss,
454,Mister,2009-2010,Master,Bioengineering,Swiss,
455,Miss,2009-2010,Master,Life Sciences and Technologies,French,
